approxkl,clipfrac,explained_variance,ep_len_mean,policy_entropy,fps,true_reward,ep_reward_mean,serial_timesteps,n_updates,time_elapsed,policy_loss,total_timesteps,value_loss
0.0036864541,0.036608,0.9415163397789001,29.92,5.025426,229349,-0.003805584,0.4412138388116182,27000,108,35.49597239494324,-0.0029190448,2700000,0.052602828
0.0026065542,0.020836,0.9485113173723221,31.89,5.0155587,234075,-0.00293782,0.5702673705060625,27250,109,35.82593512535095,-0.002772695,2725000,0.049805824
0.0032795854,0.031651996,0.9458796642720699,26.48,5.005541,243020,-0.00481567,0.5300391734888581,27500,110,36.15630650520325,-0.0036144853,2750000,0.048897427
0.0035045117,0.032259997,0.9507116973400116,28.53,4.995735,222755,-0.0029681122,0.6197294642689122,27750,111,36.47689151763916,-0.0031947084,2775000,0.048539896
0.0033610761,0.031444,0.9549177996814251,29.31,4.9852576,229401,0.0012968128,0.8283912459759586,28000,112,36.81371736526489,-0.003321462,2800000,0.045607276
0.0028026805,0.024872001,0.9474210627377033,27.1,4.9714136,229836,-0.00044108345,0.5589775592234946,28250,113,37.13703489303589,-0.0029972673,2825000,0.04712857
0.0035075,0.03418,0.9450892917811871,27.54,4.95959,223532,0.0010143364,0.5912318046596192,28500,114,37.46919775009155,-0.0034845308,2850000,0.0458788
0.0039909817,0.041995995,0.949628472328186,30.01,4.9529157,240819,0.002447617,0.7603001866810882,28750,115,37.800548791885376,-0.0024280278,2875000,0.043607477
0.0035913712,0.036016,0.9525777362287045,27.72,4.945235,225114,-0.0006835595,0.537260290983495,29000,116,38.123992919921875,-0.0029071718,2900000,0.045309044
0.0027134295,0.022844,0.9513347335159779,29.99,4.937559,226220,6.6328255e-05,0.8105369827071991,29250,117,38.45067596435547,-0.0027724248,2925000,0.045944534
0.0033023958,0.029099997,0.9552784115076065,27.14,4.929193,228712,0.0018822104,0.6606029574474269,29500,118,38.7918598651886,-0.0028122042,2950000,0.04231832
0.0037155387,0.03704,0.9522088132798672,26.92,4.918601,232643,0.0016520541,0.5790163074493648,29750,119,39.12824821472168,-0.0027142814,2975000,0.0461981
0.0043127025,0.047055997,0.9514904022216797,30.45,4.9086967,233729,0.0019243025,0.6753560855187243,30000,120,39.454387187957764,-0.0033989593,3000000,0.040690377
0.0035811719,0.036016,0.949926670640707,30.78,4.898038,224863,-0.0016672177,0.6701483100612813,30250,121,39.78157997131348,-0.0035678055,3025000,0.045210205
0.0033897266,0.031316,0.9567877389490604,31.78,4.887822,227702,0.0033171424,0.5229250486779347,30500,122,40.11617040634155,-0.0028553864,3050000,0.039563008
0.0037161484,0.03814,0.9487925730645657,29.54,4.8756394,238110,-0.0033396552,0.7524769856476814,30750,123,40.44901895523071,-0.0034194589,3075000,0.049104955
0.002639574,0.020416,0.9530955255031586,29.49,4.866393,240485,0.0006271561,0.7037805402165396,31000,124,40.76653575897217,-0.002821173,3100000,0.041709866
0.003128694,0.028512001,0.956292025744915,30.63,4.8588333,233363,0.0003866802,0.5882359084552626,31250,125,41.08632969856262,-0.0027508435,3125000,0.040822007
0.003843156,0.038735997,0.9561112448573112,30.36,4.850322,236418,0.0015919516,0.9040894802351395,31500,126,41.406233072280884,-0.0033236742,3150000,0.04042928
0.0034369002,0.032031998,0.9595591351389885,25.63,4.8428025,245951,0.0012873305,0.6781240425891519,31750,127,41.72975301742554,-0.0025470708,3175000,0.03730203
0.003084191,0.028876001,0.95941112190485,32.99,4.834937,241611,0.005668601,0.8144810239783692,32000,128,42.04264736175537,-0.0031012555,3200000,0.038376536
0.0028324476,0.022532001,0.9615720100700855,26.14,4.827894,234990,0.0030812975,0.672314746603879,32250,129,42.36267304420471,-0.003140963,3225000,0.038459674
0.002502782,0.019512001,0.9611076638102531,29.37,4.818943,241003,0.0019313971,0.5335139765744134,32500,130,42.68786978721619,-0.003034974,3250000,0.03876009
0.0033852092,0.033092,0.95747921615839,26.41,4.8121047,238789,-0.00037134017,0.5525028682936136,32750,131,43.01313924789429,-0.0032453246,3275000,0.03752704
0.0036321306,0.037672002,0.9520485997200012,27.53,4.8050203,241444,0.003785437,0.8696695136633207,33000,132,43.33930945396423,-0.0030659535,3300000,0.03709632
0.0035096232,0.034044,0.9568871408700943,25.14,4.795825,240878,0.0022689956,0.6815285233494569,33250,133,43.65531015396118,-0.0030156518,3325000,0.03958818
0.0034312822,0.035592,0.9595157466828823,28.11,4.787607,238418,0.004865091,0.6530526369933068,33500,134,43.98040175437927,-0.0036761626,3350000,0.037528023
0.0033361595,0.03154,0.9606146812438965,28.2,4.7783384,232697,-0.0016149601,0.5089770156792656,33750,135,44.299994230270386,-0.0030700238,3375000,0.040267393
0.003244744,0.032300003,0.9616117216646671,27.54,4.7688627,234342,0.0031902138,0.5895186677481717,34000,136,44.624897956848145,-0.0031970087,3400000,0.0366788
0.0034786067,0.034752004,0.9618739485740662,28.23,4.7577996,240289,-0.0002310347,0.8557987850124482,34250,137,44.94794750213623,-0.0031358388,3425000,0.038050305
0.0036495253,0.036271997,0.9589290358126163,29.75,4.746522,238682,-0.0007517557,0.7131059359096434,34500,138,45.2753267288208,-0.0028149853,3450000,0.039254025
0.003204761,0.028888002,0.9601262025535107,26.13,4.737732,239617,0.006247594,0.6390065798249452,34750,139,45.59246015548706,-0.0032787926,3475000,0.03365835
0.0035492897,0.035488,0.9611232429742813,27.39,4.7334185,247899,0.0032289426,0.5115438484883089,35000,140,45.912437200546265,-0.0035375948,3500000,0.033980392
0.0038130418,0.040612,0.9648269303143024,29.59,4.72742,236964,0.004180642,0.732095859801193,35250,141,46.23414134979248,-0.0035570045,3525000,0.03409443
0.0034927689,0.034756,0.9618198946118355,31.39,4.722228,229398,0.005204104,0.7845684864818907,35500,142,46.56326413154602,-0.0034889206,3550000,0.035437264
0.004126047,0.044788,0.9638073220849037,28.73,4.712984,248129,0.0038822885,0.6718590404587484,35750,143,46.89414072036743,-0.003210128,3575000,0.036219936
