value_loss,serial_timesteps,time_elapsed,total_timesteps,ep_len_mean,clipfrac,n_updates,fps,approxkl,true_reward,explained_variance,policy_entropy,policy_loss,ep_reward_mean
0.105905995,34500,644.2897326946259,3450000,54.8,0.13445199,138,6115,0.011126487,0.12615924,0.9755172580480576,4.289518,-0.0043239426,6.639732696842402
0.13290648,34750,648.647961139679,3475000,58.53,0.115448,139,6265,0.0097200265,0.128677,0.9704549051821232,4.2724195,-0.004683163,7.247881899364293
0.14034009,35000,652.8937170505524,3500000,57.14,0.12107599,140,6213,0.009552727,0.13045792,0.9684931039810181,4.255014,-0.007500814,7.18445555049926
0.11235319,35250,657.168338060379,3525000,60.26,0.12148,141,6452,0.009906844,0.12939964,0.9751416221261024,4.239946,-0.0052051414,7.488864967692644
0.1445501,35500,661.312816619873,3550000,51.59,0.12111199,142,6287,0.009447035,0.12895823,0.9676491022109985,4.222414,-0.006449111,6.101481050923467
0.14842063,35750,665.5464596748352,3575000,51.21,0.12924,143,6262,0.010044594,0.12795661,0.9703081101179123,4.205679,-0.0021548364,6.1813261847570535
0.114874765,36000,669.7865257263184,3600000,51.13,0.10132401,144,6356,0.008052836,0.13101557,0.9745538868010044,4.1938562,-0.0056003397,6.190935826078057
0.108117506,36250,673.9743096828461,3625000,58.46,0.115632,145,6670,0.008994681,0.13042761,0.9761832263320684,4.1848617,-0.0048975246,7.284184079989791
0.11612649,36500,677.9704873561859,3650000,58.52,0.10724399,146,6393,0.0087438,0.12927066,0.9746077843010426,4.173111,-0.006600961,7.258760594390333
0.12562974,36750,682.1280663013458,3675000,56.3,0.105895996,147,6532,0.008309638,0.13000265,0.9723326787352562,4.162551,-0.0068956083,6.910336576290429
0.14228174,37000,686.2093317508698,3700000,54.65,0.111616,148,6310,0.009008372,0.13114691,0.9697868712246418,4.1549144,-0.005951896,6.859536382593214
0.13679348,37250,690.4248566627502,3725000,63.1,0.12611601,149,6497,0.010118233,0.12965114,0.9709843937307596,4.145238,-0.006747587,8.01264471836388
0.12471666,37500,694.5171873569489,3750000,63.11,0.10260401,150,6749,0.0077541685,0.1308772,0.9746428299695253,4.1322627,-0.0062241806,8.01134988322854
0.12807617,37750,698.4587187767029,3775000,61.91,0.115568,151,7051,0.009391496,0.13159522,0.9739198740571737,4.121092,-0.0062543927,7.901886366717517
0.1415669,38000,702.2439830303192,3800000,61.05,0.099008,152,6760,0.0077908337,0.13228583,0.9712917525321245,4.1055126,-0.006081209,7.648265745639801
0.116436444,38250,706.193451166153,3825000,59.49,0.120252,153,6371,0.009293323,0.13104396,0.9776284396648407,4.0860653,-0.005871032,7.3869142852723595
0.12032167,38500,710.3624219894409,3850000,59.7,0.10086,154,6606,0.008220469,0.1313884,0.9761485550552607,4.067403,-0.005913238,7.459820044115186
0.123655275,38750,714.3863434791565,3875000,65.35,0.10054801,155,6581,0.008010598,0.13003218,0.9756641406565905,4.049127,-0.005239784,8.333636958515271
0.14639822,39000,718.440037727356,3900000,59.36,0.109511994,156,6530,0.00891515,0.13276556,0.9709765482693911,4.0344944,-0.0049936706,7.632346252901479
