serial_timesteps,true_reward,total_timesteps,time_elapsed,policy_entropy,ep_reward_mean,explained_variance,approxkl,value_loss,clipfrac,n_updates,policy_loss,fps,ep_len_mean
27000,-0.12630981,2700000,101.5273962020874,4.8719707,-3.1429251789006956,0.8616469949483871,0.010187691,0.9509772,0.12261599,108,-0.00029119826,63338,31.02
27250,-0.12793297,2725000,102.29535126686096,4.867713,-2.5415245103302,0.8612579256296158,0.015524058,1.0096751,0.158564,109,0.0014616005,61183,30.22
27500,-0.13971466,2750000,103.0990777015686,4.8537006,-3.530078639655112,0.8547027856111526,0.018090887,1.1211756,0.186524,110,0.0067003905,64240,34.11
27750,-0.12685364,2775000,103.92057585716248,4.8396583,-3.060683757022198,0.8814710974693298,0.011579318,0.7460994,0.11168001,111,0.0011239983,55891,33.24
28000,-0.12451502,2800000,104.83379483222961,4.8161225,-2.756223767173651,0.8760100454092026,0.010030012,0.80968666,0.105416,112,0.0021609566,69639,30.91
28250,-0.1153438,2825000,105.60868835449219,4.7930765,-3.266766557621231,0.8839993998408318,0.032475725,0.73377514,0.196784,113,0.019948201,66026,33.48
28500,-0.11822289,2850000,106.4336268901825,4.7934523,-3.3893676530698578,0.8968288898468018,0.1697913,0.62643397,0.32395202,114,0.058503527,44640,36.75
28750,-0.11254455,2875000,107.42519235610962,4.805342,-3.1106142133828687,0.8896792605519295,0.08411374,0.5616187,0.303168,115,0.040864192,59674,34.58
29000,-0.10570306,2900000,108.22988963127136,4.8049326,-2.737841491405561,0.8615909516811371,0.01921636,0.7399654,0.22438797,116,0.004666979,66209,34.3
29250,-0.10922582,2925000,108.9773440361023,4.795724,-2.4612271872858402,0.8713157922029495,0.0097478125,0.6597728,0.103072,117,0.0011456729,68244,35.18
29500,-0.10462589,2950000,109.7824935913086,4.7880673,-2.602430553957238,0.8784657120704651,0.015007259,0.5926341,0.141324,118,0.0073770024,47504,33.22
29750,-0.0976101,2975000,110.7878966331482,4.7756376,-2.9139119560699327,0.8948615863919258,0.007146524,0.4644836,0.091904,119,-0.0025734243,44175,33.66
30000,-0.10842123,3000000,111.86228322982788,4.761795,-2.9363636812608456,0.8681066185235977,0.032186005,0.64296615,0.18038401,120,0.017842418,25484,33.85
30250,-0.102811076,3025000,113.42764663696289,4.7570333,-2.7474017005094358,0.9156321585178375,0.03438204,0.33112684,0.280936,121,0.015168568,71283,32.51
30500,-0.10564754,3050000,114.20460247993469,4.7544,-2.1600673122414444,0.8891881182789803,0.01229543,0.43978962,0.144876,122,0.0011954757,56468,29.08
30750,-0.10493442,3075000,115.06023907661438,4.7497115,-2.6661647155482933,0.883185550570488,0.014400209,0.47382206,0.171924,123,0.0025133311,60387,33.41
31000,-0.097414434,3100000,115.9051947593689,4.7424917,-3.1168805084589257,0.8692918121814728,0.021643713,0.38241965,0.16466,124,0.009890022,67004,34.88
31250,-0.09870737,3125000,116.69304847717285,4.734975,-2.102096577022603,0.8424016833305359,0.032715864,0.41756684,0.218276,125,0.013266271,78194,35.33
31500,-0.09192959,3150000,117.43585014343262,4.7280126,-2.138913389796362,0.9003468528389931,0.023040537,0.29501742,0.208968,126,0.00756751,46071,32.41
31750,-0.100102894,3175000,118.45038366317749,4.709976,-1.925368788328633,0.869748517870903,0.011030665,0.41686326,0.12783201,127,0.00040978537,49135,31.71
32000,-0.09127089,3200000,119.37975406646729,4.692833,-2.6408262721342908,0.9078643098473549,0.013337085,0.31204656,0.134412,128,0.0028784932,56684,34.35
32250,-0.086618185,3225000,120.22630620002747,4.6643176,-1.6085965282722463,0.8929554596543312,0.016546119,0.3453241,0.14775601,129,0.0061086835,55869,31.07
32500,-0.09437818,3250000,121.08000898361206,4.634955,-2.82677794654679,0.9097779169678688,0.01296981,0.29743108,0.16527201,130,-0.0029517305,71567,34.55
