ep_reward_mean,policy_loss,value_loss,true_reward,approxkl,explained_variance,total_timesteps,serial_timesteps,ep_len_mean,fps,policy_entropy,n_updates,time_elapsed,clipfrac
-30.241295482144633,-0.00026493802,121.38029,-1.4673822,0.0005543043,0.7758203893899918,3600000,36000,45.09,229719,5.767808,144,51.69042634963989,0.001356
-24.592942114537507,-0.0006968195,135.08775,-1.513589,0.0005291807,0.7786702066659927,3625000,36250,33.98,236113,5.7676187,145,52.04767203330994,0.003496
-24.347563923913622,-0.0008033843,126.14445,-1.5834523,0.00056457747,0.7748794555664062,3650000,36500,35.98,229173,5.76748,146,52.39699745178223,0.0045319996
-26.31737841717253,-0.00085489114,120.19175,-1.4842865,0.00057115697,0.7894661575555801,3675000,36750,41.38,234525,5.7671175,147,52.74645924568176,0.003196
-21.437914996502514,-0.0004014179,168.73286,-1.5902511,0.00037061112,0.7501547634601593,3700000,37000,36.4,234651,5.7670155,148,53.09767770767212,0.0021199998
-27.472919586600327,-0.0010038416,108.75862,-1.4516656,0.0007020306,0.7999340444803238,3725000,37250,41.03,233874,5.7667003,149,53.44287443161011,0.0051720003
-28.08284164441451,-0.0011883542,108.58397,-1.445868,0.0010299686,0.8163160979747772,3750000,37500,42.24,234307,5.7661543,150,53.789445638656616,0.0077800006
-27.24906171150971,-0.00097019895,105.1178,-1.3840125,0.00062156015,0.8241923302412033,3775000,37750,41.78,240786,5.765906,151,54.144224882125854,0.004632
-30.600441233842574,-0.0010359248,104.347755,-1.444698,0.0010428001,0.8108703196048737,3800000,38000,43.07,240254,5.76608,152,54.484766721725464,0.008388
-30.518013243546594,-0.00060281984,124.27159,-1.4454144,0.0007288976,0.8093601912260056,3825000,38250,44.78,228733,5.766261,153,54.82951092720032,0.004096
-19.332549798028413,-0.0010644315,123.40401,-1.4419162,0.00073492783,0.7973278760910034,3850000,38500,35.59,237427,5.7659307,154,55.17129182815552,0.004764
-20.19126951910315,-0.00092028093,131.70972,-1.494367,0.0008806642,0.7952775806188583,3875000,38750,38.46,242558,5.765358,155,55.516175746917725,0.005292
-19.331240877506133,-0.0011056368,100.45463,-1.3994755,0.0009140241,0.8276006877422333,3900000,39000,36.73,239167,5.764884,156,55.86030983924866,0.0072279996
-24.495377056688813,-0.0008249784,116.87953,-1.4024147,0.0006852527,0.808035358786583,3925000,39250,39.64,244306,5.7643614,157,56.2043514251709,0.004504
-16.575816697870906,-0.0009319,86.511734,-1.3250982,0.0011763708,0.8357140719890594,3950000,39500,34.2,233359,5.76444,158,56.53769397735596,0.009088
-22.975197764300393,-0.00075244426,121.120384,-1.4438614,0.00037824115,0.8093715012073517,3975000,39750,40.68,241673,5.764005,159,56.876569986343384,0.0020919999
-20.741168401233153,-0.00072280545,96.56332,-1.3275154,0.0004626726,0.8370223641395569,4000000,40000,38.19,234183,5.763475,160,57.21888709068298,0.0025
-24.751201719314214,-0.00093001156,114.76129,-1.3464259,0.000784377,0.815274104475975,4025000,40250,43.66,233609,5.7636995,161,57.559699058532715,0.005172
-20.30055951272363,-0.0010630541,96.96988,-1.2970593,0.0010541885,0.8308982253074646,4050000,40500,38.81,238441,5.7642884,162,57.90542435646057,0.008040001
-19.602593903858214,-0.0009614107,99.30056,-1.3407937,0.00080372486,0.8394945412874222,4075000,40750,37.15,228897,5.7648025,163,58.246060371398926,0.0072439997
-23.040925854969696,-0.00083944574,96.58641,-1.3034357,0.00068937434,0.841093897819519,4100000,41000,37.53,242613,5.7645745,164,58.593833923339844,0.0049
-18.652692342883018,-0.0010319527,95.25052,-1.2645478,0.0007135307,0.8379747718572617,4125000,41250,39.84,237359,5.763929,165,58.932756185531616,0.004248
-17.29777242565929,-0.0011913425,110.57455,-1.3123336,0.0007684715,0.8342025429010391,4150000,41500,36.69,228466,5.7633963,166,59.28065085411072,0.0060960003
-16.776364747086483,-0.00135734,95.418625,-1.3033701,0.0015995823,0.8377990126609802,4175000,41750,31.66,231101,5.762967,167,59.63942909240723,0.016332
-19.389864934047147,-0.00141476,82.21993,-1.2379955,0.0011342806,0.8586816340684891,4200000,42000,36.08,228855,5.762662,168,59.98685050010681,0.008544
-23.629229589955358,-0.0010032175,78.96681,-1.2355679,0.0007261021,0.8573641330003738,4225000,42250,43.38,181754,5.7627573,169,60.33581757545471,0.003996
-14.57763296384568,-0.0012005471,86.69597,-1.2623827,0.00055990816,0.8488548547029495,4250000,42500,29.7,231054,5.7630334,170,60.722389698028564,0.003452
